type,latitude,longitude,altitude (ft),name,desc
W,21.3184722,-157.8582222,,O Offspring,
W,21.3210556,-157.8555556,,O Offspring,<div>older<br></div>
W,21.3210556,-157.8555278,,O Offspring,<div>older<br></div>
W,21.3186667,-157.8565556,,O Offspring,<div>Older on top of bathroom<br></div>
W,21.32125,-157.8554444,,O Offspring,
W,21.3144444,-157.8617222,,O Offspring,
W,21.3146944,-157.8613889,,O Offspring,
W,21.31475,-157.8612778,,O Offspring,<div>Less than a year<br></div>
W,21.3148611,-157.8611111,,O Offspring,
W,21.3151111,-157.8607222,,O Offspring,
W,21.3150556,-157.8604722,,O Offspring,
W,21.3153611,-157.8608333,,O Offspring,
W,21.3154167,-157.8607222,,O Offspring,
W,21.3153333,-157.8608611,,O Offspring,
W,21.31575,-157.8602778,,O Offspring,
W,21.3163333,-157.86,,O Offspring,<div>Much older<br></div>
W,21.3171111,-157.8583611,,O Offspring,
W,21.3170833,-157.8583889,,O Offspring,
W,21.3171389,-157.8583611,,O Offspring,
W,21.3169722,-157.8579444,,O15,"<div>Old, fruiting Foster Tree</div>"
W,21.3167778,-157.8580556,,O Offspring,
W,21.31675,-157.8583333,,O Offspring,
W,21.3166111,-157.8584722,,O Offspring,
W,21.3165,-157.8583333,,O Offspring,
W,21.3165,-157.8583611,,O Offspring,
W,21.3164444,-157.8585833,,O Offspring,
W,21.3164444,-157.8586111,,O Offspring,
W,21.3164722,-157.8585,,O Offspring,
W,21.31625,-157.8581111,,O Offspring,
W,21.3165278,-157.8580556,,O Offspring,
W,21.3165556,-157.8580556,,O Offspring,
W,21.3165833,-157.8580833,,O Offspring,
W,21.3166111,-157.8581111,,O Offspring,
W,21.3166111,-157.8581389,,O Offspring,
W,21.3166389,-157.8581389,,O Offspring,
W,21.3166389,-157.8581667,,O Offspring,
W,21.3147778,-157.8577778,,O Offspring,
W,21.3163611,-157.8579722,,O Offspring,
W,21.31625,-157.8597222,,O Offspring,
W,21.3173333,-157.8577778,,O Offspring,
W,21.3169167,-157.8573056,,O Offspring,
W,21.3170278,-157.8573333,,O Offspring,
W,21.3172222,-157.8576389,,O Offspring,
W,21.3171111,-157.8574167,,O Offspring,
W,21.2948056,-157.8644444,,O Offspring,
W,21.2943333,-157.8436667,,O Offspring,
W,21.4310278,-157.8315,,O Offspring,<div>Likely offspring of O34</div>
W,21.3183333,-157.8481667,,O Offspring,
W,21.3184444,-157.8483889,,O Offspring,
W,21.3174722,-157.84925,,O Offspring,
W,21.3143889,-157.8538889,,O Offspring,
W,21.3095833,-157.8544167,,O Offspring,
W,21.3033889,-157.8559444,,O Offspring,
W,21.3033889,-157.8558611,,O Offspring,
W,21.3034167,-157.8558611,,O Offspring,
W,21.3145833,-157.8620833,,O Offspring,
W,21.3149444,-157.8614444,,O Offspring,
W,21.3154722,-157.8599444,,O Offspring,
W,21.3161667,-157.8597778,,O Offspring,
W,21.3195556,-157.8522222,,O Offspring,
W,21.3196389,-157.85225,,O Offspring,
W,21.3198056,-157.852,,O Offspring,
W,21.31975,-157.852,,O Offspring,
W,21.3211667,-157.8515,,O Offspring,
W,21.29925,-157.8348333,,O Offspring,
W,21.302071,-157.837111,,O Offspring,
W,21.2974167,-157.8357778,,O Offspring,
W,21.3234167,-157.8510278,,O Offspring,
W,21.3168333,-157.84375,,O Offspring,
W,21.30325,-157.8330556,,O Offspring,
W,21.3031389,-157.8329167,,O Offspring,
W,21.3033056,-157.8188056,,O Offspring,
W,21.30325,-157.8186667,,O Offspring,
W,21.3042778,-157.8198889,,O Offspring,
W,21.302952,-157.820652,,O Offspring,
W,21.3035556,-157.8205833,,O Offspring,
W,21.302562,-157.820864,,O Offspring,
W,21.3173889,-157.8017778,,O Offspring,
W,21.3173611,-157.8018333,,O Offspring,
W,21.3172778,-157.8018889,,O Offspring,
W,21.3068333,-157.8126667,,O Offspring,
W,21.3076944,-157.813,,O Offspring,
W,21.3066667,-157.8123056,,O Offspring,
W,21.3083056,-157.8167222,,O Offspring,
W,21.3068889,-157.8231944,,O Offspring,
W,21.2993611,-157.8516944,,O Offspring,
W,21.2888056,-157.81475,,O Offspring,
W,21.3064167,-157.8245278,,O Offspring,
W,21.3054167,-157.8288333,,O Offspring,
W,21.312601,-157.813061,,O Offspring,
W,21.30655,-157.81723,,O Offspring,
W,21.3276667,-157.8459167,,O Offspring,
W,21.3278889,-157.8453333,,O Offspring,
W,21.3162778,-157.8506667,,O Offspring,
W,21.3177222,-157.8514444,,O Offspring,
W,21.3171944,-157.8470556,,O Offspring,
W,21.318684,-157.848247,,O Offspring,
W,21.3101944,-157.8517222,,O Offspring,
W,21.3083056,-157.8511667,,O Offspring,
W,21.3094444,-157.85325,,O Offspring,
W,21.31087,-157.852028,,O Offspring,
W,21.304558,-157.849171,,O Offspring,
W,21.306378,-157.848308,,O Offspring,
W,21.3040556,-157.8444167,,O Offspring,
W,21.3039722,-157.8600833,,O Offspring,
W,21.3014167,-157.8579167,,O Offspring,
W,21.3015,-157.8577778,,O Offspring,
W,21.3013333,-157.8580833,,O Offspring,
W,21.3182222,-157.8659167,,O Offspring,
W,21.315,-157.8609167,,O Offspring,
W,21.3157778,-157.8608333,,O Offspring,
W,21.3151389,-157.8606389,,O Offspring,
W,21.3158333,-157.8608611,,O Offspring,
W,21.3143333,-157.8608333,,O Offspring,
W,21.3156389,-157.8598611,,O Offspring,
W,21.3154722,-157.8597222,,O Offspring,
