Name,Description,longitude,latitude
O Offspring,,-157.8581111,21.3166111
O Offspring,,-157.8581389,21.3166111
O Offspring,,-157.8581111,21.3166111
O Offspring,,-157.8581389,21.3166111
O Offspring,,-157.8581389,21.3166389
O Offspring,,-157.8581389,21.3166389
O Offspring,,-157.8581667,21.3166389
O Offspring,,-157.8577778,21.3147778
O Offspring,,-157.8579722,21.3163611
O Offspring,,-157.8597222,21.31625
O Offspring,,-157.8577778,21.3173333
O Offspring,,-157.8573056,21.3169167
O Offspring,,-157.8573333,21.3170278
O Offspring,,-157.8576389,21.3172222
O Offspring,,-157.8574167,21.3171111
O Offspring,,-157.8644444,21.2948056
O Offspring,,-157.8436667,21.2943333
O Offspring,<div>Likely offspring of O34</div>,-157.8315,21.4310278
O Offspring,,-157.8481667,21.3183333
O Offspring,,-157.8483889,21.3184444
O Offspring,,-157.84925,21.3174722
O Offspring,,-157.8538889,21.3143889
O Offspring,,-157.8544167,21.3095833
O Offspring,,-157.8559444,21.3033889
O Offspring,,-157.8558611,21.3033889
O Offspring,,-157.8558611,21.3034167
O Offspring,,-157.8620833,21.3145833
O Offspring,,-157.8614444,21.3149444
O Offspring,,-157.8599444,21.3154722
O Offspring,,-157.8597778,21.3161667
O Offspring,,-157.8522222,21.3195556
O Offspring,,-157.85225,21.3196389
O Offspring,,-157.852,21.3198056
O Offspring,,-157.852,21.31975
O Offspring,,-157.8515,21.3211667
O Offspring,,-157.8348333,21.29925
O Offspring,,-157.837111,21.302071
O Offspring,,-157.8357778,21.2974167
O Offspring,,-157.8510278,21.3234167
O Offspring,,-157.84375,21.3168333
O Offspring,,-157.8330556,21.30325
O Offspring,,-157.8329167,21.3031389
O Offspring,,-157.8188056,21.3033056
O Offspring,,-157.8186667,21.30325
O Offspring,,-157.8198889,21.3042778
O Offspring,,-157.820652,21.302952
O Offspring,,-157.8205833,21.3035556
O Offspring,,-157.820864,21.302562000000002
O Offspring,,-157.8017778,21.3173889
O Offspring,,-157.8018333,21.3173611
O Offspring,,-157.8018889,21.3172778
O Offspring,,-157.8126667,21.3068333
O Offspring,,-157.813,21.3076944
O Offspring,,-157.8123056,21.3066667
O Offspring,,-157.8167222,21.3083056
O Offspring,,-157.8231944,21.3068889
O Offspring,,-157.8516944,21.2993611
O Offspring,,-157.81475,21.2888056
O Offspring,,-157.8245278,21.3064167
O Offspring,,-157.8288333,21.3054167
O Offspring,,-157.813061,21.312601
O Offspring,,-157.81723,21.30655
O Offspring,,-157.8459167,21.3276667
O Offspring,,-157.8453333,21.3278889
O Offspring,,-157.8506667,21.3162778
O Offspring,,-157.8514444,21.3177222
O Offspring,,-157.8470556,21.3171944
O Offspring,,-157.848247,21.318684
O Offspring,,-157.8517222,21.3101944
O Offspring,,-157.8511667,21.3083056
O Offspring,,-157.85325,21.3094444
O Offspring,,-157.852028,21.31087
O Offspring,,-157.849171,21.304558
O Offspring,,-157.848308,21.306378
O Offspring,,-157.8444167,21.3040556
O Offspring,,-157.8600833,21.3039722
O Offspring,,-157.8579167,21.3014167
O Offspring,,-157.8577778,21.3015
O Offspring,,-157.8580833,21.3013333
O Offspring,,-157.8659167,21.3182222
O Offspring,,-157.8609167,21.315
O Offspring,,-157.8608333,21.3157778
O Offspring,,-157.8606389,21.3151389
O Offspring,,-157.8608611,21.3158333
O Offspring,,-157.8608333,21.3143333
O Offspring,,-157.8598611,21.3156389
O Offspring,,-157.8597222,21.3154722
